# Tabela da verdade
# Gerado a partir do circuito deslocamento
# Exportado em Tue Nov 12 19:55:22 BRT 2024

# Dicas e Notas sobre Formatação:
Você pode editar este arquivo e depois importá-lo de volta para o Logisim!
Qualquer coisa depois de um "#" é um comentário e será ignorado.
*y * Linhas em branco e linhas separadoras (por exemplo, ~~~~~~~~~~) são ignoradas.
# * Manter nomes de colunas simples (sem espaços, pontuação, etc.)
# * 'Name[N..0]' indica uma variável N 1 bit, enquanto que
# 'Nome' por si só indica uma variável de 1 bit.
Você pode usar "x" ou "-" para indicar "não se importa" para ambos
bits de entrada e saída #.
Você pode usar notação binária (por exemplo, '10100011xxxxxx') ou
# ou hexadecimal (por exemplo, "C3x"). Logisim vai descobrir qual é qual.

a[3..0] b[1..0] c | x[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0000     00    0 |  0000  
 0000     00    1 |  0000  
 0000     01    0 |  0000  
 0000     01    1 |  0000  
 0000     10    0 |  0000  
 0000     10    1 |  0000  
 0000     11    0 |  0000  
 0000     11    1 |  0000  
 0001     00    0 |  0000  
 0001     00    1 |  0001  
 0001     01    0 |  0000  
 0001     01    1 |  0000  
 0001     10    0 |  0000  
 0001     10    1 |  0010  
 0001     11    0 |  0000  
 0001     11    1 |  0000  
 0010     00    0 |  0000  
 0010     00    1 |  0010  
 0010     01    0 |  0000  
 0010     01    1 |  0001  
 0010     10    0 |  0000  
 0010     10    1 |  0100  
 0010     11    0 |  0000  
 0010     11    1 |  0000  
 0011     00    0 |  0000  
 0011     00    1 |  0011  
 0011     01    0 |  0000  
 0011     01    1 |  0001  
 0011     10    0 |  0000  
 0011     10    1 |  0110  
 0011     11    0 |  0000  
 0011     11    1 |  0000  
 0100     00    0 |  0000  
 0100     00    1 |  0100  
 0100     01    0 |  0000  
 0100     01    1 |  0010  
 0100     10    0 |  0000  
 0100     10    1 |  1000  
 0100     11    0 |  0000  
 0100     11    1 |  0000  
 0101     00    0 |  0000  
 0101     00    1 |  0101  
 0101     01    0 |  0000  
 0101     01    1 |  0010  
 0101     10    0 |  0000  
 0101     10    1 |  1010  
 0101     11    0 |  0000  
 0101     11    1 |  0000  
 0110     00    0 |  0000  
 0110     00    1 |  0110  
 0110     01    0 |  0000  
 0110     01    1 |  0011  
 0110     10    0 |  0000  
 0110     10    1 |  1100  
 0110     11    0 |  0000  
 0110     11    1 |  0000  
 0111     00    0 |  0000  
 0111     00    1 |  0111  
 0111     01    0 |  0000  
 0111     01    1 |  0011  
 0111     10    0 |  0000  
 0111     10    1 |  1110  
 0111     11    0 |  0000  
 0111     11    1 |  0000  
 1000     00    0 |  0000  
 1000     00    1 |  1000  
 1000     01    0 |  0000  
 1000     01    1 |  0100  
 1000     10    0 |  0000  
 1000     10    1 |  0000  
 1000     11    0 |  0000  
 1000     11    1 |  0000  
 1001     00    0 |  0000  
 1001     00    1 |  1001  
 1001     01    0 |  0000  
 1001     01    1 |  0100  
 1001     10    0 |  0000  
 1001     10    1 |  0010  
 1001     11    0 |  0000  
 1001     11    1 |  0000  
 1010     00    0 |  0000  
 1010     00    1 |  1010  
 1010     01    0 |  0000  
 1010     01    1 |  0101  
 1010     10    0 |  0000  
 1010     10    1 |  0100  
 1010     11    0 |  0000  
 1010     11    1 |  0000  
 1011     00    0 |  0000  
 1011     00    1 |  1011  
 1011     01    0 |  0000  
 1011     01    1 |  0101  
 1011     10    0 |  0000  
 1011     10    1 |  0110  
 1011     11    0 |  0000  
 1011     11    1 |  0000  
 1100     00    0 |  0000  
 1100     00    1 |  1100  
 1100     01    0 |  0000  
 1100     01    1 |  0110  
 1100     10    0 |  0000  
 1100     10    1 |  1000  
 1100     11    0 |  0000  
 1100     11    1 |  0000  
 1101     00    0 |  0000  
 1101     00    1 |  1101  
 1101     01    0 |  0000  
 1101     01    1 |  0110  
 1101     10    0 |  0000  
 1101     10    1 |  1010  
 1101     11    0 |  0000  
 1101     11    1 |  0000  
 1110     00    0 |  0000  
 1110     00    1 |  1110  
 1110     01    0 |  0000  
 1110     01    1 |  0111  
 1110     10    0 |  0000  
 1110     10    1 |  1100  
 1110     11    0 |  0000  
 1110     11    1 |  0000  
 1111     00    0 |  0000  
 1111     00    1 |  1111  
 1111     01    0 |  0000  
 1111     01    1 |  0111  
 1111     10    0 |  0000  
 1111     10    1 |  1110  
 1111     11    0 |  0000  
 1111     11    1 |  0000  
